,Country,EdLevel,Experience,Salary
19777,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,154152.0
19785,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,48190.0
19786,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,45600.0
19790,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,31056.0
19791,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,12497.0
19792,Italy,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,14993.0
19793,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,80232.0
19794,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,89379.0
19796,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,58899.0
19797,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,10877.0
19798,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,105517.0
19800,Denmark,"Associate degree (A.A., A.S., etc.)",5,112152.0
19802,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,84545.0
19807,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,111724.0
19808,other,Some college/university study without earning a degree,6,128507.0
19809,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,74963.0
19810,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,120414.0
19811,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,105963.0
19816,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,28711.0
19821,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",35,124138.0
19825,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,64254.0
19828,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6,79448.0
19831,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,9,60828.0
19834,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27,116016.0
19838,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",27,71750.0
19841,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,48190.0
19844,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,109231.0
19845,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,64768.0
19847,other,Some college/university study without earning a degree,2,28011.0
19848,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,69386.0
19850,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,96381.0
19851,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,85672.0
19855,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,58899.0
19856,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,54592.0
19859,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,49655.0
19860,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,27843.0
19862,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,93104.0
19865,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,42836.0
19869,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,74082.0
19877,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,99311.0
19878,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,85672.0
19882,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,51403.0
19883,Norway,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,72490.0
19887,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,58899.0
19894,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,106477.0
19898,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,145242.0
19903,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,80876.0
19905,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,115028.0
19906,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,56409.0
19907,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",16,30000.0
19911,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,128507.0
19912,Germany,Some college/university study without earning a degree,3,68537.0
19915,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,30292.0
19922,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,22969.0
19926,other,Some college/university study without earning a degree,20,100664.0
19930,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,58899.0
19931,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",21,85672.0
19932,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,93104.0
19933,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,86897.0
19934,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,110000.0
19936,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,10,27310.0
19937,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,115028.0
19938,Sweden,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24,82927.0
19940,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,74963.0
19943,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,11693.0
19944,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,111724.0
19945,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,48190.0
19946,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,25,148966.0
19948,Sweden,Some college/university study without earning a degree,11,41264.0
19949,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,58899.0
19954,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,51403.0
19955,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,37241.0
19959,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",13,80317.0
19960,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,91516.0
19965,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,85672.0
19966,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,96935.0
19967,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,30431.0
19968,Germany,Some college/university study without earning a degree,5,107090.0
19969,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,173793.0
19970,Brazil,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,39764.0
19971,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,42836.0
19974,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5,53545.0
19979,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,42306.0
19982,United States of America,Some college/university study without earning a degree,26,130000.0
19988,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,105000.0
19991,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,21418.0
19996,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",28,86897.0
19998,Germany,Some college/university study without earning a degree,3,51403.0
20002,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,89955.0
20008,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,5,33517.0
20011,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,25701.0
20016,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,98614.0
20020,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,107090.0
20021,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,68276.0
20022,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,99674.0
20023,other,Some college/university study without earning a degree,5,150000.0
20024,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,51403.0
20030,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",6,124138.0
20031,other,Some college/university study without earning a degree,5,45494.0
20033,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,74483.0
20037,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,117798.0
20039,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25,82459.0
20040,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,34759.0
20042,Poland,Some college/university study without earning a degree,2,24405.0
20044,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,105517.0
20045,Germany,Some college/university study without earning a degree,17,69608.0
20046,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,149925.0
20047,Germany,Something else,3,61041.0
20050,Denmark,Some college/university study without earning a degree,23,92741.0
20053,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,85672.0
20055,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,12851.0
20061,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,86134.0
20062,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,74483.0
20063,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,49261.0
20066,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,77104.0
20067,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,59586.0
20069,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,91524.0
20071,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,57828.0
20072,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,176346.0
20075,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",17,59970.0
20076,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,64254.0
20077,Australia,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,46273.0
20078,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",4,71215.0
20080,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,40694.0
20082,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,48190.0
20087,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,80690.0
20090,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,93684.0
20093,Italy,Some college/university study without earning a degree,9,42836.0
20094,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,41,105517.0
20096,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,91026.0
20097,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,155615.0
20099,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,112444.0
20110,Sweden,Some college/university study without earning a degree,30,59892.0
20111,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,55862.0
20112,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,60801.0
20114,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,148966.0
20118,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,46552.0
20120,other,Some college/university study without earning a degree,15,91026.0
20123,Sweden,Some college/university study without earning a degree,38,59892.0
20125,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,95096.0
20128,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,48331.0
20129,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,26772.0
20131,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",34,124138.0
20137,Italy,Some college/university study without earning a degree,14,35340.0
20140,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,59753.0
20141,Sweden,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,82927.0
20145,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,93104.0
20148,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",14,73713.0
20149,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,93173.0
20150,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,54592.0
20152,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,42836.0
20155,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,64254.0
20160,Norway,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,65241.0
20162,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,64254.0
20165,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,35340.0
20166,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,53545.0
20175,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,120588.0
20177,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,85672.0
20178,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,65000.0
20181,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,14102.0
20183,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,7,49655.0
20186,United Kingdom of Great Britain and Northern Ireland,"Associate degree (A.A., A.S., etc.)",7,43448.0
20187,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,46171.0
20189,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,14284.0
20191,other,Some college/university study without earning a degree,12,85672.0
20193,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,71750.0
20194,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,91026.0
20195,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,91026.0
20199,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,36410.0
20203,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,78175.0
20207,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,88884.0
20208,Italy,Some college/university study without earning a degree,10,32127.0
20210,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",23,160000.0
20211,France,Some college/university study without earning a degree,2,40159.0
20212,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,49261.0
20213,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",14,94239.0
20216,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,64254.0
20218,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,64254.0
20219,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,113087.0
20220,Netherlands,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",12,66181.0
20224,Germany,Some college/university study without earning a degree,5,58899.0
20227,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,112444.0
20228,Germany,Some college/university study without earning a degree,33,91026.0
20229,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,25064.0
20231,Poland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,68494.0
20234,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,135133.0
20237,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,60052.0
20239,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,53545.0
20241,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,91026.0
20242,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,112000.0
20243,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18,154790.0
20249,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,64254.0
20252,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",22,99311.0
20255,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,163265.0
20259,Israel,Some college/university study without earning a degree,5,69493.0
20261,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,61041.0
20262,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,49655.0
20266,Germany,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",5,74963.0
20267,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",14,107090.0
20270,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,80317.0
20271,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",29,89955.0
20281,United States of America,Some college/university study without earning a degree,25,180000.0
20283,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,20000.0
20284,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,107090.0
20285,Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",38,110216.0
20288,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,91026.0
20290,Italy,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",8,47119.0
20291,Australia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,132208.0
20292,Brazil,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",18,81150.0
20297,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,36410.0
20300,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,101793.0
20301,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,57828.0
20305,Sweden,Some college/university study without earning a degree,5,61919.0
20306,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,62112.0
20308,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,13364.0
20309,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,148703.0
20313,other,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,39125.0
20314,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,82994.0
20315,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,62069.0
20317,France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30,48190.0
20321,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,68240.0
20323,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,51403.0
20325,Germany,"Associate degree (A.A., A.S., etc.)",12,80317.0
20326,Spain,Some college/university study without earning a degree,1,56757.0
20328,Canada,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,100374.0
20331,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3,30306.0
20336,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,44335.0
20337,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,180981.0
20338,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",12,53545.0
20340,other,Some college/university study without earning a degree,11,51403.0
20341,Spain,Some college/university study without earning a degree,5,46049.0
20342,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,56912.0
20347,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,91026.0
20357,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,86897.0
20359,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",22,137770.0
20361,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,115000.0
20362,Sweden,Some college/university study without earning a degree,12,58602.0
20363,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19,71750.0
20366,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,95096.0
20367,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,26772.0
20369,United Kingdom of Great Britain and Northern Ireland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",20,60828.0
20370,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",19,42836.0
20378,Israel,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,96220.0
20379,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,19,16138.0
20382,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",3,146000.0
20385,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,74483.0
20387,Spain,Some college/university study without earning a degree,5,51403.0
20390,Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",3,34269.0
20392,Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,107090.0
20393,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,73909.0
20394,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,34805.0
20396,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",4,63183.0
20397,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,86271.0
20399,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,33413.0
20400,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",13,89955.0
20401,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,128507.0
20405,Poland,Some college/university study without earning a degree,17,39717.0
20406,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,55687.0
20414,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,70679.0
20416,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,53598.0
20420,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6,23101.0
20421,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,64552.0
20423,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11,96381.0
20424,Germany,Some college/university study without earning a degree,5,47548.0
20425,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,14540.0
20427,other,Some college/university study without earning a degree,12,27227.0
20429,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,49261.0
20431,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,38319.0
20433,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",11,69608.0
20434,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,96381.0
20439,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,57828.0
20441,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,113523.0
20446,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",8,69608.0
20451,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",13,116388.0
20454,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",3,38552.0
20455,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,91026.0
20458,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",12,69017.0
20462,Switzerland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,198389.0
20463,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,92097.0
20473,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",20,68276.0
20474,Spain,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,40694.0
20475,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",8,91026.0
20478,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",30,96381.0
20480,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",9,52207.0
20482,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",10,26850.0
20483,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",30,70679.0
20487,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,80317.0
20488,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,125000.0
20489,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",2,85655.0
20492,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",14,105517.0
20493,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,100000.0
20496,other,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",8,43371.0
20497,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",19,101735.0
20499,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5,48190.0
20507,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,111724.0
20508,Germany,"Associate degree (A.A., A.S., etc.)",11,47548.0
20509,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",2,95000.0
20510,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,117798.0
20512,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,90775.0
20513,India,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",16,36351.0
20514,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",4,74963.0
20515,Sweden,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18,105041.0
20518,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,41765.0
20521,France,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,56757.0
20522,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",7,77521.0
20523,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",25,99311.0
20526,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,40097.0
20532,France,Some college/university study without earning a degree,2,64254.0
20534,other,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1,28272.0
20537,Brazil,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",10,28403.0
20541,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",17,139216.0
20544,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",1,28571.0
20545,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,24,81931.0
20547,other,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,47495.0
20550,France,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,64254.0
